,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
2540,Apartamento,Vila Valqueire,3,3,1,130,2000.0,275.0,2364.4095850019803
2541,Apartamento,Leblon,2,1,1,70,5500.0,2000.0,400.0
2542,Apartamento,Recreio dos Bandeirantes,2,1,1,68,1500.0,1025.0,112.0
2543,Apartamento,Humaitá,1,1,0,60,3200.0,614.0,250.0
2544,Flat,Botafogo,1,1,1,70,2900.0,1071.0,85.0
2545,Loja/Salão,Barra da Tijuca,0,2,0,202,8000.0,4300.0,3370.0
2546,Apartamento,Centro,3,2,1,120,2500.0,1500.0,208.0
2547,Apartamento,Catete,2,0,0,71,1900.0,566.0,129.0
2548,Apartamento,Curicica,2,1,0,60,1500.0,350.0,2364.4095850019803
2549,Apartamento,Barra da Tijuca,3,2,3,127,6000.0,1700.0,3500.0
2550,Conjunto Comercial/Sala,Centro,0,0,0,90,1500.0,1100.0,180.0
2551,Apartamento,Freguesia (Jacarepaguá),2,0,0,75,1300.0,200.0,125.0
2552,Quitinete,Flamengo,1,0,0,30,2150.0,260.0,25.0
2553,Quitinete,Centro,1,0,0,22,750.0,330.0,25.0
2554,Apartamento,Barra da Tijuca,3,2,1,126,5400.0,980.0,594.0
2555,Apartamento,Cascadura,2,0,0,96,1250.0,2388.0624242214294,77.0
2556,Apartamento,Botafogo,3,2,2,130,4200.0,1357.0,326.0
2557,Conjunto Comercial/Sala,Barra da Tijuca,0,0,0,36,2000.0,700.0,2364.4095850019803
2558,Conjunto Comercial/Sala,Castelo,0,0,0,24,900.0,300.0,2364.4095850019803
2559,Conjunto Comercial/Sala,Cachambi,0,2,0,60,1200.0,780.0,2364.4095850019803
2560,Apartamento,Leme,2,0,0,75,2600.0,878.0,2364.4095850019803
2561,Apartamento,Vila Isabel,2,1,0,69,1350.0,670.0,2364.4095850019803
2562,Apartamento,Tijuca,2,1,0,210,3200.0,792.0,178.0
2563,Casa de Vila,Bangu,2,1,0,100,1100.0,2388.0624242214294,2364.4095850019803
